"Site.Name","Date","Ametryn","Atrazine","Chlorpyrifos","Diuron","Fipronil","Fluroxypyr","Haloxyfop..acid.","Hexazinone","Imazapic","Imidacloprid","Isoxaflutole.metabolite..DKN.","MCPA","Metolachlor","Metribuzin","Metsulfuron.methyl","Pendimethalin","Prometryn","Simazine","Tebuthiuron","Terbuthylazine","Triclopyr","X2.4.D"
"Sandy Creek at Homebush",2015-11-03 19:45:00,"< 0.01","0.06",NA,"0.04",NA,"< 0.01","< 0.01","0.04","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01"
"Sandy Creek at Homebush",2015-11-03 23:53:00,"< 0.01","0.06",NA,"0.03",NA,"< 0.01","< 0.01","0.03","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01"
"Sandy Creek at Homebush",2015-11-04 04:01:00,"< 0.01","0.06",NA,"0.03",NA,"< 0.01","< 0.01","0.03","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01"
"Sandy Creek at Homebush",2015-11-04 08:09:00,"< 0.01","0.06",NA,"0.03",NA,"< 0.01","< 0.01","0.03","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01"
"Sandy Creek at Homebush",2015-11-04 12:17:00,"< 0.01","0.06",NA,"0.03",NA,"< 0.01","< 0.01","0.04","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01"
"Sandy Creek at Homebush",2015-11-04 16:25:00,"< 0.01","0.06",NA,"0.03",NA,"< 0.01","< 0.01","0.04","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01"
"Sandy Creek at Homebush",2015-11-04 20:33:00,"< 0.01","0.06",NA,"0.03",NA,"< 0.01","< 0.01","0.04","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01"
"Sandy Creek at Homebush",2015-11-05 00:41:00,"< 0.01","0.05",NA,"0.03",NA,"< 0.01","< 0.01","0.03","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01"
"Sandy Creek at Homebush",2015-11-17 12:23:00,"4.2","1",NA,"19",NA,"0.02","< 0.01","7.3","0.4","1.2","< 0.01","1","0.54","< 0.01","< 0.01",NA,"0.08","< 0.01","< 0.01","< 0.01","< 0.01","1.6"
"Sandy Creek at Homebush",2015-11-17 16:31:00,"0.48","0.17",NA,"2.2",NA,"0.01","< 0.01","0.82","0.09","0.29","< 0.01","0.49","0.21","< 0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","0.01","0.33"
"Sandy Creek at Homebush",2015-11-17 20:39:00,"0.19","0.11",NA,"0.64",NA,"0.05","< 0.01","0.26","0.04","0.15","0.01","0.78","0.38","< 0.01","0.02",NA,"< 0.01","< 0.01","< 0.01","< 0.01","0.01","0.17"
"Sandy Creek at Homebush",2015-11-18 00:47:00,"0.22","0.58",NA,"0.82",NA,"0.21","< 0.01","0.41","0.07","0.27","0.05","0.12","0.17","< 0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.5"
"Sandy Creek at Homebush",2015-11-18 04:55:00,"0.64","2.6",NA,"1.1",NA,"0.33","< 0.01","0.25","0.17","0.2","0.15","0.09","0.14","< 0.01","0.01",NA,"0.01","0.01","< 0.01","< 0.01","< 0.01","0.98"
"Sandy Creek at Homebush",2015-11-18 09:03:00,"0.51","4.3",NA,"3.3",NA,"0.36","< 0.01","0.39","0.23","0.4","0.17","0.06","0.39","< 0.01","0.01",NA,"0.01","0.02","< 0.01","< 0.01","< 0.01","1.5"
"Sandy Creek at Homebush",2015-11-18 13:11:00,"0.32","4.8",NA,"4.1",NA,"0.35","0.01","0.72","0.4","0.67","0.17","0.07","0.58","< 0.01","0.01",NA,"< 0.01","0.01","< 0.01","< 0.01","< 0.01","1.5"
"Sandy Creek at Homebush",2015-11-18 17:19:00,"0.19","4.2",NA,"3.4",NA,"0.33","0.01","0.89","0.48","0.93","0.14","0.07","0.64","< 0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","1.6"
"Sandy Creek at Homebush",2015-11-18 21:27:00,"0.13","3.4",NA,"3.4",NA,"0.4","0.02","0.97","0.66","0.9","0.15","0.09","0.57","< 0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","1.6"
"Sandy Creek at Homebush",2015-11-19 01:35:00,"0.13","3.6",NA,"3.6",NA,"0.49","0.03","0.99","0.75","1.1","0.15","0.09","0.56","0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","0.01","1.6"
"Sandy Creek at Homebush",2015-11-19 05:43:00,"0.1","3.5",NA,"3.6",NA,"0.53","0.02","1","0.85","1.1","0.15","0.09","0.49","0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","1.8"
"Sandy Creek at Homebush",2015-11-19 09:51:00,"0.1","3.7",NA,"3.5",NA,"0.56","0.02","0.94","0.74","1","0.15","0.09","0.44","0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","1.6"
"Sandy Creek at Homebush",2015-12-08 02:31:00,"0.04","0.89",NA,"0.89",NA,"0.08","< 0.01","0.25","0.15","0.25","0.02","< 0.01","0.07","< 0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.04"
"Sandy Creek at Homebush",2015-12-08 06:39:00,"0.03","2.5",NA,"2.2",NA,"0.22","< 0.01","0.44","0.48","0.75","0.07","< 0.01","0.19","0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.08"
"Sandy Creek at Homebush",2015-12-08 10:47:00,"0.02","2",NA,"1.8",NA,"0.19","< 0.01","0.35","0.4","0.61","0.06","< 0.01","0.15","< 0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.13"
"Sandy Creek at Homebush",2015-12-08 14:55:00,"< 0.01","0.67",NA,"0.69",NA,"0.07","< 0.01","0.12","0.14","0.34","0.03","< 0.01","0.04","< 0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.07"
"Sandy Creek at Homebush",2015-12-08 19:03:00,"< 0.01","0.4",NA,"0.46",NA,"0.04","< 0.01","0.07","0.08","0.24","0.01","< 0.01","0.02","< 0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.05"
"Sandy Creek at Homebush",2015-12-08 23:11:00,"< 0.01","0.34",NA,"0.39",NA,"0.03","< 0.01","0.06","0.07","0.23","0.01","< 0.01","0.02","< 0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.04"
"Sandy Creek at Homebush",2015-12-09 03:19:00,"< 0.01","0.34",NA,"0.38",NA,"0.03","< 0.01","0.06","0.07","0.23","0.01","< 0.01","0.02","< 0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.04"
"Sandy Creek at Homebush",2015-12-09 07:27:00,"< 0.01","0.33",NA,"0.36",NA,"0.03","< 0.01","0.06","0.08","0.23","0.01","< 0.01","0.02","< 0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.04"
"Sandy Creek at Homebush",2015-12-09 11:35:00,"< 0.01","0.32",NA,"0.36",NA,"0.03","< 0.01","0.06","0.07","0.24","0.01","< 0.01","0.02","< 0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.04"
"Sandy Creek at Homebush",2015-12-09 15:43:00,"< 0.01","0.35",NA,"0.39",NA,"0.03","< 0.01","0.06","0.08","0.23","0.01","< 0.01","0.02","< 0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.04"
"Sandy Creek at Homebush",2015-12-09 19:51:00,"< 0.01","0.33",NA,"0.36",NA,"0.03","< 0.01","0.06","0.08","0.22","0.01","< 0.01","0.02","< 0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.04"
"Sandy Creek at Homebush",2015-12-09 23:59:00,"< 0.01","0.33",NA,"0.36",NA,"0.03","< 0.01","0.06","0.08","0.23","0.01","< 0.01","0.02","< 0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.04"
"Sandy Creek at Homebush",2015-12-15 10:00:00,"< 0.01","0.39",NA,"0.43",NA,"0.03","< 0.01","0.09","0.08","0.19","0.02","< 0.01","0.02","< 0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.02"
"Sandy Creek at Homebush",2016-01-04 14:59:00,"< 0.01","0.2",NA,"0.17",NA,"0.02","< 0.01","0.07","0.04","0.05","< 0.01","< 0.01","0.01","< 0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.02"
"Sandy Creek at Homebush",2016-01-04 15:49:00,"< 0.01","0.16",NA,"0.14",NA,"0.01","< 0.01","0.06","0.03","0.04","< 0.01","< 0.01","< 0.01","< 0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.02"
"Sandy Creek at Homebush",2016-01-04 16:01:00,"< 0.01","0.65",NA,"2.5",NA,"0.03","0.01","0.3","0.09","0.34","< 0.01","0.07","0.04","< 0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.56"
"Sandy Creek at Homebush",2016-01-04 16:15:00,"0.01","0.64",NA,"2.9",NA,"0.03","0.01","0.34","0.1","0.34","< 0.01","0.07","0.04","< 0.01","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.59"
"Sandy Creek at Homebush",2016-01-04 19:57:00,"0.07","1.3",NA,"3.3",NA,"0.14","< 0.01","0.87","0.16","1.2","0.07","0.04","0.24","0.04","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","1.2"
"Sandy Creek at Homebush",2016-01-04 22:37:00,"0.03","0.8",NA,"3",NA,"0.18","< 0.01","0.55","0.17","1.2","0.06","0.05","0.94","0.3","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","1.1"
"Sandy Creek at Homebush",2016-01-05 02:45:00,"0.14","4.8",NA,"2.9",NA,"0.2","< 0.01","1.4","0.41","0.91","0.05","0.08","0.82","0.46","< 0.01",NA,"< 0.01","0.01","< 0.01","< 0.01","0.01","2.3"
"Sandy Creek at Homebush",2016-01-05 06:53:00,"0.26","8.4",NA,"3.7",NA,"0.39","< 0.01","2.2","0.49","0.83","0.16","0.2","0.52","2","< 0.01",NA,"< 0.01","0.02","< 0.01","< 0.01","< 0.01","0.82"
"Sandy Creek at Homebush",2016-01-05 11:01:00,"0.5","7.6",NA,"3.6",NA,"0.47","< 0.01","1.9","0.49","0.97","0.25","0.34","0.55","4.5","< 0.01",NA,"< 0.01","0.02","< 0.01","< 0.01","< 0.01","0.68"
"Sandy Creek at Homebush",2016-01-05 17:09:00,"0.33","5.6",NA,"3.7",NA,"0.37","< 0.01","1.7","0.59","0.7","0.17","0.64","0.85","3.8","< 0.01",NA,"< 0.01","0.01","< 0.01","< 0.01","< 0.01","1.5"
"Sandy Creek at Homebush",2016-01-05 21:17:00,"0.21","4.9",NA,"4",NA,"0.33","< 0.01","1.3","0.68","0.56","0.13","0.51","0.73","2.4","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","1.4"
"Sandy Creek at Homebush",2016-01-06 01:25:00,"0.15","5.1",NA,"4.5",NA,"0.39","< 0.01","1.3","0.72","0.57","0.12","0.45","0.71","2","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","1.2"
"Sandy Creek at Homebush",2016-01-06 05:33:00,"0.12","5",NA,"5",NA,"0.49","< 0.01","1.3","0.85","0.51","0.15","0.47","0.67","1.8","< 0.01",NA,"< 0.01","0.01","< 0.01","< 0.01","< 0.01","1.4"
"Sandy Creek at Homebush",2016-01-06 13:49:00,"0.08","5.1",NA,"5.6",NA,"0.52","< 0.01","1.2","0.9","0.47","0.24","0.29","0.6","1.5","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","1.5"
"Sandy Creek at Homebush",2016-01-06 17:57:00,"0.08","5.5",NA,"6.6",NA,"0.53","< 0.01","1.3","0.95","0.54","0.32","0.26","0.6","1.7","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","1.4"
"Sandy Creek at Homebush",2016-01-06 22:05:00,"0.06","5.3",NA,"6.2",NA,"0.54","< 0.01","1.2","0.93","0.53","0.36","0.23","0.56","1.8","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","1.4"
"Sandy Creek at Homebush",2016-01-07 02:13:00,"0.06","5.4",NA,"6.6",NA,"0.51","< 0.01","1.2","0.94","0.54","0.42","0.09","0.54","2","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.57"
"Sandy Creek at Homebush",2016-01-07 06:21:00,"0.06","5.4",NA,"6.5",NA,"0.5","< 0.01","1.2","0.89","0.59","0.46","0.05","0.56","2.1","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.27"
"Sandy Creek at Homebush",2016-01-07 10:00:00,"0.06","5.4",NA,"6.5",NA,"0.51","< 0.01","1.1","0.89","0.59","0.52","0.08","0.57","2.2","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.58"
"Sandy Creek at Homebush",2016-01-09 13:24:00,"< 0.01","0.56",NA,"0.83",NA,"0.05","< 0.01","0.36","0.15","0.32","0.01","< 0.01","0.08","0.06","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.2"
"Sandy Creek at Homebush",2016-01-09 16:42:00,"0.02","1.3",NA,"1.4",NA,"0.15","< 0.01","0.41","0.26","0.42","0.05","0.01","0.13","0.16","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.26"
"Sandy Creek at Homebush",2016-01-09 20:28:00,"< 0.01","1.7",NA,"1.5",NA,"0.22","< 0.01","0.45","0.18","0.44","0.03","< 0.01","0.14","0.11","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.36"
"Sandy Creek at Homebush",2016-01-10 00:36:00,"0.01","1.8",NA,"2",NA,"0.22","< 0.01","0.86","0.44","0.62","0.07","0.01","0.37","0.12","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.89"
"Sandy Creek at Homebush",2016-01-10 04:44:00,"0.02","3.3",NA,"3.6",NA,"0.26","< 0.01","1.1","0.75","0.66","0.18","0.02","1.3","0.55","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.91"
"Sandy Creek at Homebush",2016-01-10 08:52:00,"0.03","3.8",NA,"3.9",NA,"0.34","< 0.01","0.89","0.8","0.61","0.18","0.05","1.2","0.64","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","1.1"
"Sandy Creek at Homebush",2016-01-10 13:00:00,"0.06","4.3",NA,"5.2",NA,"0.42","< 0.01","1","0.81","0.52","0.14","0.08","1.1","0.5","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","1.3"
"Sandy Creek at Homebush",2016-01-10 17:08:00,"0.05","3.6",NA,"4.5",NA,"0.4","< 0.01","1","0.81","0.42","0.11","0.07","0.97","0.34","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","1.2"
"Sandy Creek at Homebush",2016-01-10 21:16:00,"0.1","3.3",NA,"4.4",NA,"0.39","< 0.01","1.1","0.84","0.37","0.1","0.07","1","0.26","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","1.1"
"Sandy Creek at Homebush",2016-01-11 01:24:00,"0.11","3.3",NA,"4.5",NA,"0.4","< 0.01","1.1","0.86","0.32","0.11","0.07","1","0.24","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.88"
"Sandy Creek at Homebush",2016-01-11 05:32:00,"0.11","3.4",NA,"4.4",NA,"0.39","< 0.01","1.2","0.88","0.33","0.12","0.07","1","0.26","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","1.1"
"Sandy Creek at Homebush",2016-01-18 02:06:00,"0.02","2.5",NA,"2.4",NA,"0.18","< 0.01","0.92","0.51","0.32","0.06","0.02","0.49","0.14","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.52"
"Sandy Creek at Homebush",2016-01-18 05:59:00,"0.02","1.6",NA,"1.9",NA,"0.15","< 0.01","0.65","0.29","0.29","0.05","0.02","0.35","0.1","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","9"
"Sandy Creek at Homebush",2016-01-18 10:07:00,"0.18","1.7",NA,"2.4",NA,"1.5","< 0.01","0.76","0.42","0.26","0.17","0.02","0.21","0.95","0.03",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","3.5"
"Sandy Creek at Homebush",2016-01-18 14:15:00,"0.12","1.4",NA,"1.9",NA,"0.9","< 0.01","0.56","0.41","0.24","0.15","0.02","0.38","0.78","0.02",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","2.7"
"Sandy Creek at Homebush",2016-01-18 18:23:00,"0.07","1.5",NA,"1.5",NA,"0.39","< 0.01","0.47","0.45","0.22","0.08","0.03","0.35","0.36","0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","1.4"
"Sandy Creek at Homebush",2016-01-18 22:31:00,"0.05","1.6",NA,"1.5",NA,"0.37","< 0.01","0.51","0.46","0.2","0.07","0.08","0.3","0.29","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","1.1"
"Sandy Creek at Homebush",2016-01-19 02:39:00,"0.06","2.2",NA,"2",NA,"0.46","< 0.02","0.75","0.76","0.27","0.08","0.12","0.27","1","0.02",NA,"< 0.01","< 0.02","< 0.02","< 0.01","< 0.1","1.3"
"Sandy Creek at Homebush",2016-01-22 11:55:00,"0.06","2.2",NA,"1.6",NA,"0.19","< 0.01","0.5","0.55","0.28","0.08","0.05","0.29","1.3","< 0.01",NA,"< 0.01","0.01","< 0.01","< 0.01","< 0.01","0.62"
"Sandy Creek at Homebush",2016-01-26 17:43:00,"0.04","1.3",NA,"1",NA,"0.09","< 0.01","0.38","0.34","0.17","0.04","0.03","0.16","0.68","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.16"
"Sandy Creek at Homebush",2016-01-26 21:51:00,"0.05","1.7",NA,"1.4",NA,"0.15","< 0.01","0.57","0.47","0.22","0.06","0.07","0.25","0.71","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.25"
"Sandy Creek at Homebush",2016-01-27 01:59:00,"0.04","2.7",NA,"1.4",NA,"0.24","< 0.01","0.59","0.35","0.3","0.04","1.3","0.2","0.23","< 0.01",NA,"< 0.01","0.01","< 0.01","< 0.01","< 0.01","1.4"
"Sandy Creek at Homebush",2016-01-27 06:07:00,"0.03","3.3",NA,"1.2",NA,"0.27","< 0.01","0.46","0.3","0.5","0.03","1.7","0.13","0.2","< 0.01",NA,"< 0.01","0.02","< 0.01","< 0.01","< 0.01","4.4"
"Sandy Creek at Homebush",2016-01-27 10:15:00,"0.06","4.3",NA,"1.3",NA,"0.82","< 0.01","0.47","0.32","0.53","0.04","2","0.12","0.21","< 0.01",NA,"< 0.01","0.02","< 0.01","< 0.01","< 0.01","5.6"
"Sandy Creek at Homebush",2016-02-05 18:25:00,"0.03","1.7",NA,"0.98",NA,"0.22","< 0.01","0.36","0.28","0.13","0.04","0.01","0.09","0.38","0.03",NA,"< 0.01","0.01","< 0.01","< 0.01","< 0.01","0.36"
"Sandy Creek at Homebush",2016-02-05 18:39:00,"0.03","2",NA,"1",NA,"0.27","< 0.01","0.44","0.23","0.13","0.04","< 0.01","0.08","0.36","0.01",NA,"< 0.01","0.01","< 0.01","< 0.01","< 0.01","0.26"
"Sandy Creek at Homebush",2016-02-05 18:47:00,"0.03","1.3",NA,"0.84",NA,"0.13","< 0.01","0.39","0.18","0.13","0.02","< 0.01","0.09","0.17","0.02",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.27"
"Sandy Creek at Homebush",2016-02-05 22:08:00,"0.03","1.5",NA,"1.3",NA,"0.21","< 0.01","0.44","0.14","0.26","0.04","0.05","0.09","0.13","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","0.02","0.43"
"Sandy Creek at Homebush",2016-02-06 00:31:00,"0.02","0.81",NA,"1.1",NA,"0.24","< 0.01","0.28","0.16","0.38","0.08","0.07","0.15","0.27","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","0.02","0.74"
"Sandy Creek at Homebush",2016-02-06 04:25:00,"< 0.01","1.3",NA,"0.82",NA,"0.28","< 0.01","0.2","0.18","0.38","0.07","0.05","0.09","0.18","< 0.01",NA,"< 0.01","0.01","< 0.01","< 0.01","< 0.01","0.56"
"Sandy Creek at Homebush",2016-02-06 08:13:00,"< 0.01","0.64",NA,"0.51",NA,"0.16","< 0.01","0.13","0.13","0.3","0.05","0.03","0.08","0.18","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.53"
"Sandy Creek at Homebush",2016-02-06 14:05:00,"0.02","0.76",NA,"0.83",NA,"0.23","< 0.01","0.21","0.17","0.24","0.04","0.09","0.09","0.19","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.59"
"Sandy Creek at Homebush",2016-02-06 18:35:00,"0.03","0.82",NA,"1.1",NA,"0.35","< 0.01","0.23","0.17","0.18","0.04","0.17","0.12","0.16","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.55"
"Sandy Creek at Homebush",2016-02-07 00:43:00,"0.01","0.69",NA,"0.9",NA,"0.29","< 0.01","0.21","0.15","0.19","0.02","0.17","0.11","0.12","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","0.02","0.4"
"Sandy Creek at Homebush",2016-02-07 06:51:00,"0.01","0.72",NA,"0.87",NA,"0.26","< 0.01","0.21","0.16","0.24","0.04","0.15","0.1","0.13","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","0.01","0.34"
"Sandy Creek at Homebush",2016-02-07 11:53:00,"0.01","0.6",NA,"1",NA,"0.3","< 0.01","0.33","0.19","0.2","0.03","0.16","0.1","0.1","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","0.01","0.39"
"Sandy Creek at Homebush",2016-02-07 17:41:00,"0.01","0.59",NA,"1.2",NA,"0.39","< 0.01","0.47","0.22","0.21","0.02","0.18","0.1","0.1","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","0.01","0.42"
"Sandy Creek at Homebush",2016-02-07 23:49:00,"0.01","0.57",NA,"1.1",NA,"0.33","< 0.01","0.46","0.19","0.23","0.02","0.15","0.11","0.08","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","0.01","0.4"
"Sandy Creek at Homebush",2016-02-08 05:57:00,"< 0.01","0.6",NA,"1.1",NA,"0.36","< 0.01","0.47","0.26","0.25","0.02","0.14","0.12","0.09","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","0.01","0.39"
"Sandy Creek at Homebush",2016-02-08 19:09:00,"0.01","0.6",NA,"0.94",NA,"0.28","< 0.01","0.42","0.27","0.25","0.02","0.12","0.12","0.06","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.42"
"Sandy Creek at Homebush",2016-02-09 01:17:00,"0.01","0.68",NA,"1.1",NA,"0.28","< 0.01","0.47","0.33","0.27","0.03","0.12","0.13","0.07","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.4"
"Sandy Creek at Homebush",2016-02-09 07:25:00,"0.01","0.72",NA,"1.1",NA,"0.3","< 0.01","0.5","0.33","0.3","0.03","0.12","0.13","0.07","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.38"
"Sandy Creek at Homebush",2016-02-09 19:41:00,"0.01","0.65",NA,"1",NA,"0.28","< 0.01","0.48","0.33","0.28","0.03","0.1","0.12","0.06","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.38"
"Sandy Creek at Homebush",2016-02-10 01:49:00,"0.01","0.64",NA,"1",NA,"0.26","< 0.01","0.49","0.3","0.26","0.03","0.09","0.11","0.06","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.32"
"Sandy Creek at Homebush",2016-02-10 07:57:00,"0.01","0.66",NA,"1",NA,"0.24","< 0.01","0.48","0.33","0.25","0.03","0.08","0.12","0.06","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.3"
"Sandy Creek at Homebush",2016-02-12 11:00:00,"< 0.01","0.48",NA,"0.7",NA,"0.12","< 0.01","0.34","0.17","0.17","0.03","0.03","0.07","0.04","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.13"
"Sandy Creek at Homebush",2016-02-24 11:30:00,"0.01","0.2",NA,"0.3",NA,"0.03","< 0.01","0.24","0.1","0.08","0.02","< 0.01","0.02","0.03","< 0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","0.01"
"Sandy Creek at Homebush",2016-03-02 22:23:00,"< 0.01","0.14",NA,"0.08",NA,"0.98","< 0.01","0.13","0.05","0.09","< 0.01","0.04","0.01","< 0.01","0.02",NA,"< 0.01","< 0.01","< 0.01","< 0.01","< 0.01","1.5"
"Sandy Creek at Homebush",2016-03-03 16:03:00,"< 0.01","0.54",NA,"0.26",NA,"0.45","< 0.01","0.15","0.14","0.26","0.06","0.63","0.04","0.03","0.02",NA,"< 0.01","< 0.01","< 0.01","< 0.01","0.01","0.4"
"Sandy Creek at Homebush",2016-03-04 01:03:00,"< 0.01","0.35",NA,"0.21",NA,"0.22","< 0.01","0.13","0.2","0.28","0.11","0.18","0.04","0.02","0.02",NA,"< 0.01","< 0.01","0.01","< 0.01","< 0.01","0.66"
"Sandy Creek at Homebush",2016-03-04 11:30:00,"< 0.01","0.37",NA,"0.74",NA,"0.39","< 0.01","0.43","0.25","0.26","0.1","0.42","0.12","0.02","0.02",NA,"< 0.01","< 0.01","< 0.01","< 0.01","0.02","0.58"
"Sandy Creek at Homebush",2016-03-04 20:07:00,"< 0.01","0.42",NA,"0.73",NA,"0.51","< 0.01","0.28","0.22","0.28","0.04","0.58","0.12","0.02","0.01",NA,"< 0.01","< 0.01","< 0.01","< 0.01","0.02","0.48"
